filename,artist,style,price,time
test,Tally,black & grey,3700,5.5
blackandgreylady,Tally,black & grey,3500,6.0
blackgreyangel,Tally,black & grey,4000,6.0
largefont,Tally,script,3000,4.0
WhatsApp Image 2025-07-08 at 19.17.52_daaabf08.jpg,Tally,line work,1200,1.5
2.jpg,Tally,line work,2000,3.0
3.jpg,Tally,line work,2400,3.0
4.jpg,Tally,line work,800,1.0
5.jpg,Tally,line work,900,1.0
6.jpg,Tally,line work,1600,2.0
8.jpg,Tally,line work,3000,4.0
9.jpg,Tally,line work,2400,3.0
9.jpg,Tally,line work,2400,3.0
WhatsApp_Image_2025-07-14_at_09.42.40_99e341e2.jpg,Alex,Line,1400,2.0
WhatsApp_Image_2025-07-14_at_09.43.37_9e80dbaa.jpg,Alex,Line,1200,2.0
WhatsApp_Image_2025-07-14_at_09.40.52_7270bcc1.jpg,Alex,Line,2400,4.0
WhatsApp_Image_2025-07-08_at_19.33.40_99646702.jpg,Tally,Line,1200,2.0
WhatsApp_Image_2025-07-08_at_19.34.21_a93e9618.jpg,Tally,Line,1400,2.0
